timeframe,success_1W,success_10W,success_25W,maxdist_1W_km,maxdist_10W_km,maxdist_25W_km
0,0,1,1,1926,2585,3119
1,0,0,1,1689,2198,2588
2,0,0,0,1148,2162,2433
3,0,0,0,1148,2433,2433
4,0,0,1,1282,2198,2632
5,0,0,0,1738,2433,2475
6,0,0,1,0,2162,5731
7,0,1,1,1601,5731,16992
8,0,0,1,2255,2296,3653
9,0,0,1,2162,0,3119
10,0,0,1,2327,2327,5577
11,0,0,0,2162,2198,2462
12,0,0,0,0,2198,2433
13,0,0,1,1148,2162,3786
14,0,1,1,1148,2961,3653
15,0,1,1,1358,3786,3696
16,0,0,0,0,2327,2327
17,0,0,1,2162,1142,4489
18,0,1,0,0,2961,2259
19,0,0,1,1263,2198,3653
20,0,0,0,0,2267,1304
21,0,0,1,0,2152,3786
22,0,0,0,1263,2106,2198
23,0,0,0,1096,1483,2327
24,0,0,1,1468,1723,5979
25,0,1,1,0,2585,2585
26,0,1,0,1575,16988,0
27,0,1,1,1939,3039,5836
28,0,0,0,2074,2462,2433
29,0,1,1,1470,5527,16988
30,0,0,0,1307,2162,2198
31,0,1,0,2198,2585,2267
32,0,0,1,2198,2255,5552
33,0,0,1,1148,2433,5792
34,0,1,1,1970,3427,16988
35,0,1,1,2433,3427,6304
36,0,1,1,2433,2536,7827
37,0,0,1,0,2191,5577
38,0,1,1,1944,5612,5638
39,0,0,1,0,1788,5538
40,0,0,0,0,1944,2433
41,0,0,0,2433,2433,2433
42,0,0,1,0,2433,16992
43,0,1,1,2433,2985,5551
44,0,0,1,2433,2433,6371
45,0,0,0,2433,2462,2462
46,0,0,1,966,2433,5435
47,0,0,1,1838,2433,16992
48,0,1,1,1970,5072,5638
49,0,1,1,0,5638,5435
50,0,0,1,1148,2093,5577
51,0,0,1,1639,2433,3814
52,0,0,0,1147,2433,1877
53,0,1,1,2462,5638,5653
54,0,1,1,2433,3786,3376
55,1,1,0,2961,5107,2433
56,0,1,1,2462,2956,5435
57,0,0,1,1470,2433,5137
58,0,1,1,1148,5107,16992
59,0,1,1,1147,5137,5599
60,0,1,1,2433,16988,5107
61,0,1,1,1808,5107,16988
62,0,1,1,2433,3786,5116
63,0,1,1,1864,16988,5527
64,0,1,1,2462,3039,16988
65,0,1,1,2433,2956,5599
66,0,0,0,2433,2433,0
67,0,0,1,1147,1926,5327
68,0,1,1,2462,16988,16992
69,0,0,1,1148,2433,5599
70,0,0,1,1150,2433,5107
71,0,1,1,1307,3376,2702
72,0,1,1,966,3653,16988
73,0,0,0,0,2433,2462
74,0,1,1,2433,16988,3653
75,0,1,1,2433,2985,3733
76,0,1,1,1788,3733,16988
77,0,0,0,0,1841,2433
78,0,0,1,2433,2433,3814
79,0,0,1,2433,2462,6304
80,0,1,0,2433,3653,2433
81,0,0,0,1150,2433,2433
82,1,1,1,3376,16988,16988
83,0,0,0,0,2070,2433
84,0,0,0,1148,2213,2433
85,0,1,1,1726,3376,6119
86,0,1,1,966,3653,3049
87,0,1,1,1147,7827,7827
88,0,1,1,1148,3376,16884
89,0,0,1,1575,2433,6304
90,0,0,0,1139,2213,1970
91,0,0,0,1148,1884,2433
92,0,1,1,2051,3049,16992
93,0,1,0,1148,3653,2433
94,0,1,1,2462,5577,5577
95,0,1,1,2433,5558,5558
96,1,1,1,5435,16988,17298
97,0,1,1,2433,3049,5692
98,0,1,1,2433,5171,5107
99,0,1,1,0,6044,6859
100,0,1,1,0,3376,5435
101,0,0,1,2433,2433,6044
102,0,0,1,1176,2433,16988
103,0,1,1,2433,5527,5577
104,0,1,1,2433,16988,16992
105,0,1,1,2433,5129,8175
106,0,0,0,2433,2433,2433
107,0,0,1,2433,2433,5107
108,1,1,1,16988,17298,17298
109,0,0,1,2433,2433,6859
110,1,1,1,5435,5107,5435
111,0,0,1,2433,2433,5072
112,0,0,1,2433,2433,6044
113,0,0,0,2433,2433,2433
114,1,1,1,3049,16992,5996
115,0,1,1,2433,5116,17298
116,0,1,1,2433,5357,16988
117,0,1,1,2433,17298,4058
118,0,1,1,2433,6044,5979
119,0,1,1,1938,16992,5178
120,0,0,1,2433,2433,5327
121,0,1,1,2433,17298,17298
122,0,1,1,2217,16988,6179
123,0,1,1,2102,8175,8175
124,0,1,1,2152,5167,5435
125,0,0,1,2433,2458,17298
126,0,1,1,2433,16988,16206
127,0,0,1,2433,2433,2978
128,0,1,1,2433,5065,5283
129,1,1,1,3786,5871,17298
130,0,1,1,2102,5565,6923
131,0,0,0,2017,2198,2361
132,0,1,1,1974,5256,6291
133,0,1,1,1974,2810,5680
134,0,1,1,2256,5080,17298
135,0,1,1,2191,16988,5558
136,0,1,1,2118,5435,5435
137,1,1,1,5116,8175,8175
138,0,1,1,1811,5072,5435
139,0,1,1,2152,5080,16992
140,0,1,1,2102,16992,17298
141,0,1,1,2433,16988,8175
142,0,1,1,2256,5357,9012
143,0,1,1,1194,4683,16988
144,0,1,1,1974,16992,17298
145,0,1,1,2102,5379,8175
146,0,1,1,1765,2585,6858
147,0,1,1,1202,5107,16992
148,1,1,1,3786,16988,16988
149,0,0,1,1731,2152,5167
150,0,0,1,1148,1974,5638
151,0,1,1,1974,5080,9012
152,0,1,1,1939,16988,16988
153,1,1,1,5072,5379,16794
154,0,0,1,1735,2286,16721
155,0,1,1,2017,5072,5072
156,0,1,1,1939,4058,8175
157,0,0,1,1974,2188,16988
158,0,1,1,1974,5116,9040
159,1,1,1,16206,16988,16721
